split_threshold max_recursion_depth n time
10 0 1000 5019.8
10 1 1000 4189.9
10 2 1000 4412.1
10 3 1000 5223.1
10 4 1000 24569.2
10 5 1000 28159.0
10 6 1000 53407.3
10 7 1000 104858.4
10 8 1000 104150.6
10 9 1000 103982.5
10 10 1000 104694.0
35 0 1000 3403.0
35 1 1000 3542.3
35 2 1000 4349.5
35 3 1000 6816.8
35 4 1000 13221.2
35 5 1000 25574.7
35 6 1000 27283.8
35 7 1000 26941.1
35 8 1000 28794.6
35 9 1000 27285.6
35 10 1000 26401.6
60 0 1000 3304.0
60 1 1000 3319.4
60 2 1000 3715.8
60 3 1000 7033.6
60 4 1000 13960.8
60 5 1000 29321.3
60 6 1000 26024.6
60 7 1000 27235.6
60 8 1000 28188.1
60 9 1000 26947.4
60 10 1000 26763.5
85 0 1000 3234.7
85 1 1000 3283.0
85 2 1000 4280.6
85 3 1000 7622.9
85 4 1000 13276.6
85 5 1000 13692.2
85 6 1000 13210.5
85 7 1000 13551.5
85 8 1000 12829.9
85 9 1000 13182.9
85 10 1000 13659.0
110 0 1000 5356.8
110 1 1000 4917.5
110 2 1000 4495.2
110 3 1000 7527.0
110 4 1000 10741.1
110 5 1000 11296.2
110 6 1000 12014.8
110 7 1000 14607.0
110 8 1000 14681.6
110 9 1000 12954.5
110 10 1000 9399.7
135 0 1000 5307.7
135 1 1000 3282.3
135 2 1000 3719.2
135 3 1000 6138.3
135 4 1000 4930.4
135 5 1000 5152.6
135 6 1000 5607.4
135 7 1000 6290.2
135 8 1000 4544.8
135 9 1000 4528.1
135 10 1000 5088.8
160 0 1000 3485.3
160 1 1000 3290.8
160 2 1000 3619.1
160 3 1000 6051.0
160 4 1000 5220.9
160 5 1000 4668.8
160 6 1000 5766.7
160 7 1000 5324.6
160 8 1000 5537.2
160 9 1000 5855.0
160 10 1000 5318.2
185 0 1000 3150.7
185 1 1000 3264.0
185 2 1000 3750.4
185 3 1000 4666.8
185 4 1000 5072.4
185 5 1000 5556.1
185 6 1000 5085.3
185 7 1000 5560.7
185 8 1000 4905.0
185 9 1000 4671.2
185 10 1000 5260.6
210 0 1000 3419.8
210 1 1000 3319.6
210 2 1000 3483.3
210 3 1000 4906.6
210 4 1000 6038.5
210 5 1000 5471.3
210 6 1000 5906.1
210 7 1000 6133.3
210 8 1000 5890.7
210 9 1000 4959.2
210 10 1000 5676.9
235 0 1000 3237.3
235 1 1000 3276.5
235 2 1000 3586.7
235 3 1000 6263.8
235 4 1000 6067.8
235 5 1000 6415.2
235 6 1000 5284.6
235 7 1000 4996.5
235 8 1000 5107.4
235 9 1000 5508.1
235 10 1000 5827.0
260 0 1000 3284.8
260 1 1000 3374.1
260 2 1000 3678.5
260 3 1000 3764.2
260 4 1000 3581.9
260 5 1000 3676.3
260 6 1000 3568.0
260 7 1000 3625.7
260 8 1000 3536.8
260 9 1000 3634.6
260 10 1000 3583.1
285 0 1000 3395.7
285 1 1000 3636.9
285 2 1000 3679.6
285 3 1000 3661.9
285 4 1000 3784.0
285 5 1000 3813.8
285 6 1000 3612.6
285 7 1000 3739.5
285 8 1000 3979.0
285 9 1000 3578.0
285 10 1000 3615.4
310 0 1000 3154.5
310 1 1000 3371.9
310 2 1000 3650.9
310 3 1000 3747.7
310 4 1000 3885.9
310 5 1000 3749.3
310 6 1000 3796.5
310 7 1000 3633.5
310 8 1000 3763.9
310 9 1000 3672.6
310 10 1000 3678.4
335 0 1000 4258.4
335 1 1000 3302.9
335 2 1000 3665.1
335 3 1000 3748.2
335 4 1000 4153.4
335 5 1000 3579.4
335 6 1000 3581.7
335 7 1000 3624.6
335 8 1000 3522.9
335 9 1000 3588.4
335 10 1000 3603.8
360 0 1000 3435.7
360 1 1000 3518.4
360 2 1000 3545.4
360 3 1000 3776.2
360 4 1000 3683.2
360 5 1000 3669.0
360 6 1000 3627.9
360 7 1000 3647.4
360 8 1000 3543.1
360 9 1000 3598.2
360 10 1000 3601.2
385 0 1000 3244.2
