host,dev_name,dev_count,kern_checksum,north,south,east,west,data_width,data_height,max_wg_size,4x4,4x8,4x16,4x24,4x32,4x40,4x48,4x56,4x64,4x72,4x80,4x88,4x96,8x4,8x8,8x16,8x24,8x32,8x40,8x48,8x56,8x64,8x72,8x80,8x88,8x96,16x4,16x8,16x16,16x24,16x32,16x40,16x48,16x56,16x64,16x72,16x80,16x88,16x96,24x4,24x8,24x16,24x24,24x32,24x40,24x48,24x56,24x64,24x72,24x80,24x88,24x96,32x4,32x8,32x16,32x24,32x32,32x40,32x48,32x56,32x64,32x72,32x80,32x88,32x96,40x4,40x8,40x16,40x24,40x32,40x40,40x48,40x56,40x64,40x72,40x80,40x88,40x96,48x4,48x8,48x16,48x24,48x32,48x40,48x48,48x56,48x64,48x72,48x80,48x88,48x96,56x4,56x8,56x16,56x24,56x32,56x40,56x48,56x56,56x64,56x72,56x80,56x88,56x96,64x4,64x8,64x16,64x24,64x32,64x40,64x48,64x56,64x64,64x72,64x80,64x88,64x96,72x4,72x8,72x16,72x24,72x32,72x40,72x48,72x56,72x64,72x72,72x80,72x88,72x96,80x4,80x8,80x16,80x24,80x32,80x40,80x48,80x56,80x64,80x72,80x80,80x88,80x96,88x4,88x8,88x16,88x24,88x32,88x40,88x48,88x56,88x64,88x72,88x80,88x88,88x96,96x4,96x8,96x16,96x24,96x32,96x40,96x48,96x56,96x64,96x72,96x80,96x88,96x96
florence,       Intel(R) Core(TM) i5-2430M CPU @ 2.40GHz,1,f9c9cc2a72bdf48d063e253f3833b5118a1072c1,1,1,1,1,1024,1024,4096,2505,2458,2478,2469,2466,2461,2472,2463,2469,2461,2483,2469,2461,2505,2475,2483,2480,2472,2475,2450,2447,2480,2469,2450,2458,2469,2461,2469,2461,2461,2455,2461,2477,2466,2477,2469,2500,2469,2474,2477,2461,2458,2474,2444,2460,2461,2456,2483,2455,2472,2482,2455,2502,2499,2472,2480,2497,2461,2447,2494,2486,2469,2455,2455,2483,2464,2494,2456,2472,2467,2466,2488,2453,2494,2430,2466,2455,2441,2447,2458,2441,2477,2449,2447,2463,2463,2480,2472,2430,-1,-1,2466,2466,2472,2458,2442,2480,2439,2455,2441,2483,-1,-1,-1,2436,2461,2458,2455,2475,2477,2480,2433,0,-1,-1,-1,-1,2452,2464,2450,2461,2444,2447,2452,2444,-1,-1,-1,-1,-1,2466,2441,2444,2450,2474,2464,2444,-1,-1,-1,-1,-1,-1,2441,2458,2447,2472,2483,2447,-1,-1,-1,-1,-1,-1,-1,2430,2458,2447,2464,2433,2494,-1,-1,-1,-1,-1,-1,-1
florence,       Intel(R) Core(TM) i5-2430M CPU @ 2.40GHz,1,1b107031a1ff8397c34fb369fc44db49852e60bc,5,5,5,5,1024,1024,4096,3529,3548,3504,3490,3504,3543,3493,3522,3501,3498,3473,3529,3524,3520,3518,3490,3476,3496,3515,3496,3521,3476,3487,3518,3512,3488,3499,3496,3498,3496,3484,3493,3496,3490,3482,3488,3491,3488,3518,3479,3498,3490,3526,3496,3529,3515,3485,3465,3487,3471,3507,3485,10860,3504,3493,3443,3444,3432,3482,3445,3424,3441,3452,3433,3430,3455,3419,3418,3435,3438,3449,3465,3441,3463,3424,3443,3433,3421,3435,3427,3452,3449,3449,3457,3463,3455,3435,3440,3418,-1,-1,3438,3418,3441,3446,3432,3457,3429,3452,3410,3458,-1,-1,-1,3458,3415,3435,3424,3463,3433,3452,3441,0,-1,-1,-1,-1,3422,3424,3424,3422,3460,3460,3454,3435,-1,-1,-1,-1,-1,3419,3474,3452,3429,3462,3446,3452,-1,-1,-1,-1,-1,-1,3444,3455,3452,3438,3435,3435,-1,-1,-1,-1,-1,-1,-1,3432,3401,3438,3416,3421,3457,-1,-1,-1,-1,-1,-1,-1
florence,       Intel(R) Core(TM) i5-2430M CPU @ 2.40GHz,1,0b9413874417bd0f0cec4d6d7cc356fed354b678,5,5,5,5,1024,1024,4096,563,541,546,553,553,561,558,566,558,558,527,519,481,503,475,506,464,478,481,514,494,481,478,495,500,478,478,483,503,475,492,511,478,492,491,475,503,461,475,511,506,500,500,473,472,467,461,508,481,484,467,514,467,508,489,481,478,492,495,484,497,492,489,489,497,486,467,489,500,472,472,500,489,481,497,494,511,514,489,472,505,467,478,509,483,475,489,497,489,-1,-1,495,467,486,475,478,508,475,475,481,475,-1,-1,-1,475,489,478,500,514,503,516,506,0,-1,-1,-1,-1,483,525,475,478,489,497,497,489,-1,-1,-1,-1,-1,495,483,478,481,514,469,492,-1,-1,-1,-1,-1,-1,500,464,492,509,489,489,-1,-1,-1,-1,-1,-1,-1,495,473,492,458,475,461,-1,-1,-1,-1,-1,-1,-1
florence,       Intel(R) Core(TM) i5-2430M CPU @ 2.40GHz,1,f22d86624260332b651d9762311ebf5c4b368769,1,1,1,1,1024,1024,4096,203,206,203,206,195,189,189,192,206,189,195,186,189,197,195,195,186,206,189,200,203,189,189,189,192,195,186,209,192,192,189,214,201,217,195,203,192,192,192,203,192,214,211,203,189,195,208,192,203,186,206,195,195,186,192,192,200,186,217,192,206,198,192,203,228,183,195,186,217,212,200,189,192,192,206,206,198,189,203,211,192,192,183,183,200,195,203,192,211,-1,-1,192,195,195,189,192,203,198,189,189,203,-1,-1,-1,189,189,192,186,203,215,206,198,0,-1,-1,-1,-1,192,195,203,195,200,198,189,203,-1,-1,-1,-1,-1,195,195,203,189,192,198,206,-1,-1,-1,-1,-1,-1,209,192,189,206,192,206,-1,-1,-1,-1,-1,-1,-1,203,206,209,192,192,200,-1,-1,-1,-1,-1,-1,-1
cec,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,1,f9c9cc2a72bdf48d063e253f3833b5118a1072c1,1,1,1,1,512,512,4096,510,513,516,510,516,516,510,516,510,513,516,513,516,519,510,516,519,513,513,519,513,513,510,513,519,516,519,513,510,516,516,510,522,516,516,510,516,510,516,510,513,510,510,513,519,516,513,519,516,516,522,510,516,513,510,513,519,513,513,513,516,510,513,516,513,516,513,513,516,513,513,510,516,519,519,519,513,510,510,513,513,519,516,519,510,513,516,513,519,-1,-1,510,513,522,513,513,516,513,516,519,516,-1,-1,-1,516,510,513,513,516,516,519,519,0,-1,-1,-1,-1,516,519,513,510,519,510,510,513,-1,-1,-1,-1,-1,516,510,513,510,510,519,513,-1,-1,-1,-1,-1,-1,516,516,519,516,513,513,-1,-1,-1,-1,-1,-1,-1,516,525,513,519,519,510,-1,-1,-1,-1,-1,-1,-1
cec,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,1,f9c9cc2a72bdf48d063e253f3833b5118a1072c1,1,1,1,1,1024,1024,4096,243,243,246,243,249,243,246,255,246,243,243,249,246,243,243,243,243,243,246,240,252,246,246,249,249,249,249,249,249,243,246,249,246,252,246,249,246,243,243,243,246,246,246,249,246,249,246,246,249,246,246,243,246,252,249,246,243,243,246,249,255,240,240,246,240,243,246,246,246,240,243,246,249,249,243,249,246,249,243,249,246,246,243,249,240,249,243,243,246,-1,-1,246,249,249,246,246,246,249,252,249,246,-1,-1,-1,255,249,246,246,243,249,249,249,0,-1,-1,-1,-1,249,243,246,246,246,243,243,246,-1,-1,-1,-1,-1,243,243,246,252,246,246,246,-1,-1,-1,-1,-1,-1,252,246,243,249,246,255,-1,-1,-1,-1,-1,-1,-1,249,249,246,243,243,246,-1,-1,-1,-1,-1,-1,-1
cec,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,1,f9c9cc2a72bdf48d063e253f3833b5118a1072c1,1,1,1,1,2048,2048,4096,249,246,252,249,249,246,243,249,249,249,246,243,243,252,252,240,246,246,246,240,246,246,246,246,249,255,246,246,249,243,249,249,243,249,246,243,243,243,243,249,246,243,249,240,249,246,246,249,246,243,243,246,240,246,249,243,246,246,246,252,252,246,249,249,246,252,243,246,246,246,246,246,252,243,249,249,240,249,246,243,246,252,243,246,246,246,252,246,249,-1,-1,243,243,246,246,243,243,249,249,246,246,-1,-1,-1,246,249,246,243,243,252,252,243,0,-1,-1,-1,-1,249,246,243,246,243,246,240,246,-1,-1,-1,-1,-1,243,252,246,246,246,249,249,-1,-1,-1,-1,-1,-1,243,252,243,246,243,240,-1,-1,-1,-1,-1,-1,-1,246,243,252,252,240,240,-1,-1,-1,-1,-1,-1,-1
cec,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,1,f9c9cc2a72bdf48d063e253f3833b5118a1072c1,1,1,1,1,4096,4096,4096,18,21,27,18,21,21,21,21,27,15,27,24,24,21,24,21,27,24,15,24,18,18,27,18,21,24,18,24,21,24,21,24,18,15,24,21,18,21,24,24,21,24,15,24,24,30,27,30,21,24,21,24,21,24,21,15,27,24,21,24,24,27,24,27,24,27,27,24,24,21,24,21,21,24,24,21,21,18,21,30,30,18,18,18,27,18,24,21,24,-1,-1,24,18,18,24,24,24,24,24,21,18,-1,-1,-1,24,24,18,24,18,21,24,24,0,-1,-1,-1,-1,21,21,21,15,21,21,27,18,-1,-1,-1,-1,-1,18,24,24,24,24,24,24,-1,-1,-1,-1,-1,-1,24,21,24,24,24,27,-1,-1,-1,-1,-1,-1,-1,24,27,27,21,18,18,-1,-1,-1,-1,-1,-1,-1
cec,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,1,f22d86624260332b651d9762311ebf5c4b368769,1,1,1,1,512,512,4096,252,249,243,249,240,252,243,246,246,246,243,246,246,246,246,246,249,243,249,249,249,246,249,243,249,246,246,246,249,243,246,243,246,249,246,249,246,246,252,249,246,249,243,246,243,246,252,246,255,249,249,252,240,246,252,246,246,249,240,243,246,246,249,246,246,246,249,246,246,243,249,246,240,240,252,252,249,243,243,243,246,243,243,246,249,249,249,243,246,-1,-1,246,249,249,249,246,246,249,249,240,243,-1,-1,-1,243,243,243,246,249,246,246,243,0,-1,-1,-1,-1,246,249,246,246,240,246,240,243,-1,-1,-1,-1,-1,246,249,246,249,249,243,246,-1,-1,-1,-1,-1,-1,249,246,249,243,243,249,-1,-1,-1,-1,-1,-1,-1,246,246,249,243,246,243,-1,-1,-1,-1,-1,-1,-1
cec,Intel(R) Core(TM) i5-4570 CPU @ 3.20GHz,1,f22d86624260332b651d9762311ebf5c4b368769,1,1,1,1,1024,1024,4096,240,243,252,246,243,246,240,246,243,246,243,240,246,243,246,252,249,243,243,246,249,246,252,246,246,246,243,243,243,246,240,249,243,243,243,246,249,249,246,246,249,249,246,246,246,249,243,249,249,246,249,249,246,246,246,243,246,249,243,252,249,249,252,249,246,243,246,246,243,246,246,252,249,249,243,246,252,252,243,246,246,246,246,252,252,243,243,243,249,-1,-1,246,240,252,246,240,240,249,246,243,249,-1,-1,-1,252,246,246,246,243,240,246,240,0,-1,-1,-1,-1,252,243,246,249,243,249,243,249,-1,-1,-1,-1,-1,252,249,243,246,252,243,243,-1,-1,-1,-1,-1,-1,246,246,246,243,252,249,-1,-1,-1,-1,-1,-1,-1,249,246,246,246,252,249,-1,-1,-1,-1,-1,-1,-1
